"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","370","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","1491","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","409","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","2248","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","377","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","2253","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","3236","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","3037","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","6538","При создании нового заказа счётчик 'Выполнено за сегодня' увеличивается","tests","2026-06-10","passed","2026-06-10","TestOrderFeed","Лента заказов","",""
"","1117","Переход по клику на раздел 'Лента заказов'","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","1396","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","2244","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","341","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","2244","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","2257","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","1229","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","1608","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","2232","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","1286","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","328","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","1323","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","351","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
"","3158","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","2262","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","2176","Счетчики для каждого ингредиента меню","tests","2026-06-08","passed","2026-06-08","TestMainPage","test_main_page","",""
"","1251","Счетчики для каждого ингредиента меню","tests","2026-06-10","passed","2026-06-10","TestMainPage","test_main_page","",""
